package_external_id,package_name,product_external_id,product_name,product_required,sku_external_id,sku_manufacturer_id,sku_description,sku_hcpcs,attr1_name,attr1_value,attr2_name,attr2_value,attr3_name,attr3_value,attr4_name,attr4_value,attr5_name,attr5_value,attr6_name,attr6_value,attr7_name,attr7_value,attr8_name,attr8_value,attr9_name,attr9_value,attr10_name,attr10_value
0FSB-JK-59-8E78V,FreeStyle Libre System Continuous Glucose Monitoring Package [MEDICARE/MEDICAID],YTVZ-1X-GY6-VKXS,Blood Glucose Test Strips (Diabetes),FALSE,4V-CJG-63RKA-INP,,"Blood Glucose Test Strips (Diabetes), Refills if billed with: Rx- 3, Med- Lifetime",BLDSTRP,,,,,,,,,,,,,,,,,Blood Glucose System,n/a,,
0FSB-JK-59-8E78V,FreeStyle Libre System Continuous Glucose Monitoring Package [MEDICARE/MEDICAID],YTVZ-1X-GY6-VKXS,Blood Glucose Test Strips (Diabetes),FALSE,PN0KC-QA5-DGR-7S,,"Blood Glucose Test Strips, Caresense (Diabetes)",BLDSTRP,,,,,,,,,,,,,Blood Glucose System,CareSense,,,,,,
0FSB-JK-59-8E78V,FreeStyle Libre System Continuous Glucose Monitoring Package [MEDICARE/MEDICAID],YTVZ-1X-GY6-VKXS,Blood Glucose Test Strips (Diabetes),FALSE,RJT-VMR-89PC7-TG,843244,"Blood Glucose Test Strips, Prodigy Auto (Diabetes)",BLDSTRP,,,,,,,,,,,,,Blood Glucose System,Prodigy Auto,,,,,,
18T5L-QTVRT-DAB6,"FreeStyle Libre 2 System, Continuous Glucose Monitoring Package",0GC-NP4IJ-C73-HC,Freestyle Libre Adhesive Patches,FALSE,YL-8TD-EZX-G6-VI,,"Freestyle Libre Adhesive Patches, Pack (10)",CGMP,,,,,Patches Unit,Pack (10),,,,,,,,,,,,,,
18T5L-QTVRT-DAB6,"FreeStyle Libre 2 System, Continuous Glucose Monitoring Package",5YF-V4I-C7-A7C47,Blood Glucose Meter (Diabetes),FALSE,IJ-GV6-18Z2-70BX,,"Blood Glucose Meter, Caresense (Diabetes)",BGMETR,,,,,,,,,,,,,,,,,,,Blood Glucose System,CareSense
18T5L-QTVRT-DAB6,"FreeStyle Libre 2 System, Continuous Glucose Monitoring Package",BU6J-KE3R-K8-DC1,Libre 2 Reader,TRUE,8R-9CD5-NCAV-U6D,,No Libre 2 Reader,,,,,,,,Reader/Receiver Included,Not Included,,,,,,,,,,,,
18T5L-QTVRT-DAB6,"FreeStyle Libre 2 System, Continuous Glucose Monitoring Package",BU6J-KE3R-K8-DC1,Libre 2 Reader,TRUE,HC03T-XE-N0L-TD0,71953,"Libre 2 Reader, 1 per year",CGMR,,,,,,,Reader/Receiver Included,Included,,,,,,,,,,,,
18T5L-QTVRT-DAB6,"FreeStyle Libre 2 System, Continuous Glucose Monitoring Package",BU6J-KE3R-K8-DC1,Libre 2 Reader,TRUE,STJ5-H6-JYGT-HQT,,A9278/E2103 Libre 2 Reader,CGMR,,,,,,,Reader/Receiver Included,Included,,,,,,,,,,,,
18T5L-QTVRT-DAB6,"FreeStyle Libre 2 System, Continuous Glucose Monitoring Package",BU6J-KE3R-K8-DC1,Libre 2 Reader,TRUE,XF4-H3-LK4-XETEP,,Libre 2 Reader,CGMR,,,,,,,,,Reader/Receiver Included,Included,,,,,,,,,,
18T5L-QTVRT-DAB6,"FreeStyle Libre 2 System, Continuous Glucose Monitoring Package",YTVZ-1X-GY6-VKXS,Blood Glucose Test Strips (Diabetes),FALSE,RJT-VMR-89PC7-TG,843244,"Blood Glucose Test Strips, Prodigy Auto (Diabetes)",BLDSTRP,,,,,,,,,Blood Glucose System,Prodigy Auto,,,,,,,,,,
