package_external_id,package_name,product_external_id,product_name,product_required,sku_external_id,sku_manufacturer_id,sku_description,sku_hcpcs,attr1_name,attr1_value,attr2_name,attr2_value,attr3_name,attr3_value,attr4_name,attr4_value,attr5_name,attr5_value,attr6_name,attr6_value,attr7_name,attr7_value,attr8_name,attr8_value,attr9_name,attr9_value,attr10_name,attr10_value
02B-DMP-R4PNV-J6,Nasal Mask with Headgear,gFLfVji5gY8ISYbS,Nasal Mask to Fit,TRUE,tKCZM95qAK7fhi5x,,"Nasal Mask to Fit [Pkg], 1 per 3 months",A7034,Frequency,1 per 3 months,,,,,,,,,,,,,,,,,,
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),1I13-9IS-A2VU-SG,PAP Resupply,TRUE,7T-S53UV-SF-SJ7L,,"PAP Resupply, Nasal",RSPLY,Mask Frame,Nasal,,,,,,,,,,,,,,,,,,
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),1I13-9IS-A2VU-SG,PAP Resupply,TRUE,SDHYH-Y2DQ8-DRVT,,"PAP Resupply, Full Face",RSPLY,Mask Frame,Full Face,,,,,,,,,,,,,,,,,,
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),1P3-CS4E-VFQ-8EA,Non-Disposable PAP Filter,FALSE,IQFK-CA82-M0-4E1,,"Non-Disposable PAP Filter, 1 per 6 months",A7039,,,,,,,,,,,,,,,Non-Disposable PAP Filter,Included,,,,
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),6B-G8YD-QX5-Q0LA,PAP Mask Interface Cushion,FALSE,1M7F-B3-GJU-FNQH,,"PAP Mask Interface Cushion, Nasal, 2 per 1 month",A7032,,,,,,,,,Mask Frame,Nasal,,,,,,,,,,
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),6B-G8YD-QX5-Q0LA,PAP Mask Interface Cushion,FALSE,29X1-MA-FT-JY-CT,,"PAP Mask Interface Cushion, Nasal Pillow, 2 per 1 month",A7033,,,,,,,,,,,,,,,,,,,Mask Frame,Nasal Pillow
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),6B-G8YD-QX5-Q0LA,PAP Mask Interface Cushion,FALSE,98VR5-ACDY-CMQAT,,"PAP Mask Interface Cushion, Oral / Nasal Hybrid, 2 per 1 month",A7028,,,,,,,,,,,,,,,Mask Frame,Oral / Nasal Hybrid,,,,
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),6B-G8YD-QX5-Q0LA,PAP Mask Interface Cushion,FALSE,JE28-YGS3R-VM-9C,,"PAP Mask Interface Cushion, Full Face, 1 per 1 month",A7031,Mask Frame,Full Face,,,,,,,,,,,,,,,,,,
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),6B-G8YD-QX5-Q0LA,PAP Mask Interface Cushion,FALSE,PDCBV-TAB-ESL-15,,"PAP Mask Interface Cushion, Oral, 2 per 1 month",A7028,,,,,Mask Frame,Oral,,,,,,,,,,,,,,
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),6B-G8YD-QX5-Q0LA,PAP Mask Interface Cushion,FALSE,TNI-C7UN-6ZI-SU5,,"PAP Mask Interface Cushion, Fit to Comfort",IFC,,,,,,,,,,,,,,,,,,,Mask Frame,Fit to Comfort
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),6I-CU-K6-MNT4-BF,PAP Machine Tubing,FALSE,10RK-4K8S2-T6-EV,,"PAP Machine Tubing, Heated, 1 per 3 months",A4604,,,,,,,,,,,Tubing Type,Heated,,,,,,,,
083VI-7J96C-5CY9,CPAP and BiLevel Resupply Package (With F2F Documentation),6I-CU-K6-MNT4-BF,PAP Machine Tubing,FALSE,31JB8-VF7-2K-L04,,"Climate Line Air Pap Machine Tubing, Heated, 1 per 3 months",A4604,,,,,,,,,Tubing Type,Climate Line Air Heated,,,,,,,,,,
