package_external_id,package_name,product_external_id,product_name,product_required,sku_external_id,sku_manufacturer_id,sku_description,sku_hcpcs,attr1_name,attr1_value,attr2_name,attr2_value,attr3_name,attr3_value,attr4_name,attr4_value,attr5_name,attr5_value,attr6_name,attr6_value,attr7_name,attr7_value,attr8_name,attr8_value,attr9_name,attr9_value,attr10_name,attr10_value
0H-LIB-4G-L7-ZT8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,GL-6E-RMQ-8RL-Q8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,true,19-RCR5-V3GN-N1J,2862S,"3M Medipore H High Adhesion Soft Cloth Surgical Tape, 2 in. x 2 yd., Each (1)",A4452,Brand,Medipore H,Dimensions,2 in. x 2 yd.,Manufacturer,3M Healthcare,Tape Material,Cloth,Unit,Each (1),,,,,,,,,,
0H-LIB-4G-L7-ZT8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,GL-6E-RMQ-8RL-Q8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,true,5F-RVU6-N3KAN-TL,2868,"3M Medipore H High Adhesion Soft Cloth Surgical Tape, 8 in. x 10 yd., Box (6)",A4452,Brand,Medipore H,Dimensions,8 in. x 10 yd.,Manufacturer,3M Healthcare,Tape Material,Cloth,Unit,Box (6),,,,,,,,,,
0H-LIB-4G-L7-ZT8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,GL-6E-RMQ-8RL-Q8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,true,7A9FQ-F5-PZ-1D0Z,2868,"3M Medipore H High Adhesion Soft Cloth Surgical Tape, 8 in. x 10 yd., Each (1)",A4452,Brand,Medipore H,Dimensions,8 in. x 10 yd.,Manufacturer,3M Healthcare,Tape Material,Cloth,Unit,Each (1),,,,,,,,,,
0H-LIB-4G-L7-ZT8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,GL-6E-RMQ-8RL-Q8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,true,970-D76P-RBU-R8L,2862,"3M Medipore H High Adhesion Soft Cloth Surgical Tape, 2 in. x 10 yd., Each (1)",A4452,Brand,Medipore H,Dimensions,2 in. x 10 yd.,Manufacturer,3M Healthcare,Tape Material,Cloth,Unit,Each (1),,,,,,,,,,
0H-LIB-4G-L7-ZT8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,GL-6E-RMQ-8RL-Q8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,true,9SR-89KE-LH-9LIU,2864S,"3M Medipore H High Adhesion Soft Cloth Surgical Tape, 4 in. x 2 yd., Each (1)",A4452,Brand,Medipore H,Dimensions,4 in. x 2 yd.,Manufacturer,3M Healthcare,Tape Material,Cloth,Unit,Each (1),,,,,,,,,,
0H-LIB-4G-L7-ZT8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,GL-6E-RMQ-8RL-Q8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,true,AUNSV-LTQ9L-1QES,2864,"3M Medipore H High Adhesion Soft Cloth Surgical Tape, 4 in. x 10 yd., Box (12)",A4452,Brand,Medipore H,Dimensions,4 in. x 10 yd.,Manufacturer,3M Healthcare,Tape Material,Cloth,Unit,Box (12),,,,,,,,,,
0H-LIB-4G-L7-ZT8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,GL-6E-RMQ-8RL-Q8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,true,D2S6-VC-C9QF7-VD,2866,"3M Medipore H High Adhesion Soft Cloth Surgical Tape, 6 in. x 10 yd., Each (1)",A4452,Brand,Medipore H,Dimensions,6 in. x 10 yd.,Manufacturer,3M Healthcare,Tape Material,Cloth,Unit,Each (1),,,,,,,,,,
0H-LIB-4G-L7-ZT8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,GL-6E-RMQ-8RL-Q8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,true,E2-YTY-KC05-PB6S,2861,"3M Medipore H High Adhesion Soft Cloth Surgical Tape, 1 in. x 10 yd., Box (24)",A4452,Brand,Medipore H,Dimensions,1 in. x 10 yd.,Manufacturer,3M Healthcare,Tape Material,Cloth,Unit,Box (24),,,,,,,,,,
0H-LIB-4G-L7-ZT8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,GL-6E-RMQ-8RL-Q8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,true,HUP98-KG-BLP-XYT,2862S,"3M Medipore H High Adhesion Soft Cloth Surgical Tape, 2 in. x 2 yd., Box (48)",A4452,Brand,Medipore H,Dimensions,2 in. x 2 yd.,Manufacturer,3M Healthcare,Tape Material,Cloth,Unit,Box (48),,,,,,,,,,
0H-LIB-4G-L7-ZT8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,GL-6E-RMQ-8RL-Q8,3M Medipore H High Adhesion Soft Cloth Surgical Tape,true,I1BA-S3-C2M8F-NU,2866,"3M Medipore H High Adhesion Soft Cloth Surgical Tape, 6 in. x 10 yd., Box (12)",A4452,Brand,Medipore H,Dimensions,6 in. x 10 yd.,Manufacturer,3M Healthcare,Tape Material,Cloth,Unit,Box (12),,,,,,,,,,
